level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0,wpm
network,Cont,peak,U-T,0.00217791244147213,0.005887003318566388,-0.009342115421625748,0.01378618542496592,30,0.7114177756902804,0.8299874049719937,False,180
network,Cont,peak,S-U,-0.008108792301291733,0.005971516004530631,-0.01970825604950372,0.0036711455396494556,30,0.17449165910693543,0.20357360229142465,False,180
network,Cont,sustained,S-T,-0.023769279952792023,0.009473074074238003,-0.04238485831470536,-0.004971494116923592,30,0.012102511431432083,0.016943516004004917,True,180
network,Cont,sustained,U-T,-0.007999121617460367,0.006302005835462778,-0.019924046860654902,0.0042098549869517875,30,0.2043349004311128,0.4767814343392632,False,180
network,Cont,sustained,S-U,-0.015770158335331658,0.007237044827369135,-0.02917767116978553,-0.0011731740354717609,30,0.029325123363050137,0.04105517270827019,True,180
network,Cont,time_to_peak,S-T,-27.133333333333336,9.997438504464396,-46.93333333333335,-7.932500000000006,30,0.006647044127138665,0.023264654444985326,True,180
network,Cont,time_to_peak,U-T,-6.300000000000003,12.552611021585506,-30.835,18.33583333333333,30,0.6157465781086737,0.7775655951970972,False,180
network,Cont,time_to_peak,S-U,-20.833333333333332,12.35694714653359,-44.844166666666666,2.3024999999999802,30,0.09180327451570307,0.16065573040248038,False,180
network,Default,auc,S-T,2.1115418885326767,0.384684160547431,1.3398926981156338,2.831300533088037,30,4.0415298747749903e-08,9.430236374474977e-08,True,180
network,Default,auc,U-T,1.645081654032714,0.3944333399661911,0.8997362247671454,2.438627473033645,30,3.0360283405639286e-05,5.313049595986875e-05,True,180
network,Default,auc,S-U,0.46646023449996266,0.32828064182884875,-0.17058869165999752,1.1317129090576823,30,0.1553402793172559,0.15534027931725594,False,180
network,Default,mean,S-T,0.010532406212214419,0.0019488381399817613,0.0065092557837299544,0.014091045079550259,30,6.50060785691943e-08,1.5168084999478668e-07,True,180
network,Default,mean,U-T,0.007242825339165764,0.0019677563654401406,0.003370364147744087,0.01102731686119497,30,0.00023254610110298238,0.00040695567693021915,True,180
network,Default,mean,S-U,0.0032895808730486554,0.0016130877425128323,3.644346021533474e-05,0.006423879489149419,30,0.04141941303459828,0.04141941303459828,True,180
network,Default,peak,S-T,-0.011009971798955822,0.0067420668787176756,-0.024415233571697045,0.0017706136683425537,30,0.10246348821303836,0.23908147249708947,False,180
network,Default,peak,U-T,0.011426229921312312,0.00704981785084825,-0.0031635366699540477,0.024848671021779282,30,0.10506403361849463,0.36772411766473123,False,180
network,Default,peak,S-U,-0.022436201720268133,0.0072924199564885755,-0.03773639006018404,-0.00862155137912178,30,0.0020934307740359715,0.0146540154182518,True,180
network,Default,sustained,S-T,0.07501900697778527,0.011501972774677982,0.052946725763775244,0.09896068512806634,30,6.924980180030403e-11,4.847486126021282e-10,True,180
network,Default,sustained,U-T,0.009975748450511258,0.010736885605414281,-0.010753153716135543,0.03151886719287389,30,0.3528320504338949,0.5832581282330767,False,180
network,Default,sustained,S-U,0.06504325852727401,0.00824979254215608,0.04942865735261964,0.08179624389155152,30,3.16481923643962e-15,5.538433663769335e-15,True,180
network,Default,time_to_peak,S-T,-30.466666666666676,8.530072660923453,-47.83416666666667,-14.233333333333338,30,0.00035470233266341573,0.00248291632864391,True,180
network,Default,time_to_peak,U-T,-19.300000000000004,9.100065819591913,-38.503333333333345,-2.666666666666666,30,0.03393326741036793,0.11876643593628776,True,180
network,Default,time_to_peak,S-U,-11.166666666666671,11.95722587363284,-33.93750000000001,13.969166666666649,30,0.35036352857682507,0.4403545782406291,False,180
network,DorsAttn,auc,S-T,-3.470819358784352,0.38717804722254395,-4.242033343964938,-2.75031914910497,30,3.119712418828629e-19,2.1837986931800405e-18,True,180
network,DorsAttn,auc,U-T,1.1702152283129776,0.35330660162328376,0.511370073221865,1.8920585530683447,30,0.0009257180533593097,0.0012960052747030336,True,180
network,DorsAttn,auc,S-U,-4.64103458709733,0.29449598837384977,-5.224621639605863,-4.088097891638838,30,5.93371274092078e-56,4.1535989186445465e-55,True,180
network,DorsAttn,mean,S-T,-0.01761777655294429,0.002059799309990478,-0.021797493779001684,-0.013712658451071537,30,1.1977202571028829e-17,8.38404179972018e-17,True,180
network,DorsAttn,mean,U-T,0.005583377331647408,0.001870928081029084,0.0020979319869983398,0.009402504616308326,30,0.002842445019448383,0.003979423027227736,True,180
network,DorsAttn,mean,S-U,-0.023201153884591697,0.0015027416379183702,-0.026179240034311765,-0.020349862491987045,30,8.91766099653468e-54,6.242362697574276e-53,True,180
network,DorsAttn,peak,S-T,-0.02413325256975155,0.008604738736673749,-0.04041708506948971,-0.007350806771903523,30,0.0050371750927071714,0.0352602256489502,True,180
network,DorsAttn,peak,U-T,-0.00328291707756754,0.007605988069171079,-0.018223667505893274,0.011747957225397863,30,0.6660156600845425,0.8299874049719937,False,180
network,DorsAttn,peak,S-U,-0.02085033549218401,0.007724927839025439,-0.03665899726886183,-0.006824174201121535,30,0.0069527747170465195,0.02135209235404879,True,180
network,DorsAttn,sustained,S-T,-0.06012920681530657,0.009439556289969179,-0.07914663864171058,-0.042414478966123416,30,1.891283370822971e-10,6.619491797880398e-10,True,180
network,DorsAttn,sustained,U-T,0.0003309788767158002,0.009043165680500426,-0.018091949450778747,0.017645947968621914,30,0.9708040305738205,0.9708040305738205,False,180
network,DorsAttn,sustained,S-U,-0.06046018569202237,0.007443411579060028,-0.07487731824359672,-0.04581635552411288,30,4.561341422754327e-16,1.0643129986426762e-15,True,180
network,DorsAttn,time_to_peak,S-T,-20.733333333333338,11.827789068083018,-43.333333333333336,3.6733333333333054,30,0.07961334056137084,0.16979214521033203,False,180
