scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive
scaffolding_rapid,K,10,0.016253069406998364,0.013977219097163582,500,0.0037202283416759418,0.03658801133294811,0.0022100900706422504,0.0407010018852384,0.686496,1.0
scaffolding_rapid,M,1,-0.02539812407125665,-0.024702953309909848,500,-0.03554755749564721,-0.017193606123692515,-0.03706922760987074,-0.0156566127803989,0.0022930000000000003,0.0
scaffolding_rapid,M,5,-0.02387117564429793,-0.023385181559663598,500,-0.034166393794936675,-0.015301950025688018,-0.03620058301342875,-0.014050232552222989,0.012223000000000003,0.0
scaffolding_rapid,M,10,-0.023092289711167828,-0.022726430541430108,500,-0.03442096474669249,-0.013523208198259737,-0.03617910235818143,-0.012186059440319485,0.06603,0.0
scaffolding_rapid,R,1,0.015260799828969385,0.015078967419664078,500,0.011072579792153306,0.019931699767312017,0.01046874152385821,0.020916455989302866,0.9991089999999999,1.0
scaffolding_rapid,R,5,0.06311370785369273,0.06293907198821028,500,0.045818891582663855,0.08172481928618115,0.044199762683283204,0.08541874166285439,1.0,1.0
scaffolding_rapid,R,10,0.10007616068724501,0.10100450634733682,500,0.07070196191922162,0.12628666615451112,0.06390526718657631,0.13156953408127128,1.0,1.0
scaffolding_rapid,far,1,0.002401562381794629,0.0024490071161172152,500,-0.0009319533875445479,0.005574998327922625,-0.0014089805178087492,0.007022608344177832,0.470543,0.864
scaffolding_rapid,far,5,0.013386757975394,0.013115230168381072,500,0.007451286307263992,0.0206112397407702,0.006724496473483954,0.022331469534197883,0.9652149999999999,1.0
scaffolding_rapid,far,10,0.023370264264789338,0.023281832026949403,500,0.012565842543578978,0.03328016381385738,0.011432166046805654,0.03555981741371666,0.995946,1.0
scaffolding_rapid,p_request,1,-0.01674281920963599,-0.01663008081583499,500,-0.023623710687502915,-0.010751162514015325,-0.024969558228532952,-0.009975628391303,1.9e-05,0.0
scaffolding_rapid,p_request,5,-0.03097429265666054,-0.031188106291077315,500,-0.04421411033062926,-0.017540643074054136,-0.04791645451274792,-0.01626194713237734,0.0,0.0
scaffolding_rapid,p_request,10,-0.042974803305130295,-0.044348745591891524,500,-0.0598293172972713,-0.022592674370273017,-0.061612463478942635,-0.019270264131981622,0.0,0.0
scaffolding_rapid,retention,1,0.002511692366301056,0.002505490521748187,500,4.094184449376693e-05,0.004974206211879549,-0.00021002098934411973,0.006214934837067781,0.5178619999999999,0.954
scaffolding_rapid,retention,5,0.012701862039538705,0.012308219046222316,500,0.007144538696546953,0.01985655640236724,0.006416218478733098,0.021107508657443076,0.9804700000000001,1.0
scaffolding_rapid,retention,10,0.023831572080015146,0.02361137592659305,500,0.011851821008846788,0.036127833848670826,0.01075094606920081,0.038770442555364444,0.997995,1.0
scaffolding_rapid,unaided,1,0.0031683924144924667,0.0029456428136297487,500,0.00019621336221758726,0.00684393592122257,-9.365987004317556e-05,0.008150752845543237,0.470543,0.97
scaffolding_rapid,unaided,5,0.013335074858153327,0.012560767904493446,500,0.006379876643382459,0.022813989056269746,0.005300911289187014,0.025188170577464867,0.9652149999999999,1.0
scaffolding_rapid,unaided,10,0.02725680272308006,0.02658297301626366,500,0.010957108353019735,0.04531748570430536,0.009598807337960268,0.0476978359411567,0.995946,1.0
substitution,D,1,0.0982493366295474,0.0973609985023971,500,0.07065769933325279,0.12678761725990764,0.06620838417771215,0.13264781237772522,0.999972,1.0
substitution,D,5,0.18747592328314358,0.19129044744259105,500,0.12792129637128877,0.23838939633845552,0.11758924032768023,0.2484885559866626,1.0,1.0
substitution,D,10,0.2324856977366422,0.23974492635120687,500,0.15601676533160885,0.27837168967008524,0.1434384099572578,0.28323237581371136,1.0,1.0
substitution,G,1,-0.07635905251949568,-0.07548684096802893,500,-0.09602944409371852,-0.0589355660576838,-0.09869759658989295,-0.05647905035700592,0.0,0.0
substitution,G,5,-0.14239588563868566,-0.14360211423293306,500,-0.18011600492185492,-0.1028334012608047,-0.1881989727264356,-0.09560565411487679,0.0,0.0
substitution,G,10,-0.1860997132410118,-0.19098419766581315,500,-0.22854994964005068,-0.12758869562411929,-0.2325738531509727,-0.11789022338925463,0.0,0.0
substitution,K,1,-0.0727511193344362,-0.07068489763370553,500,-0.09707867222017573,-0.051728617826514,-0.1045268657732348,-0.049283314289118176,0.0,0.0
substitution,K,5,-0.09890693346546076,-0.09648026816677852,500,-0.14291226986020267,-0.06241160016312138,-0.1518479096100889,-0.056027725999054104,0.0,0.0
substitution,K,10,-0.1469058867475034,-0.14613731011713726,500,-0.21435927902662882,-0.07820869939538655,-0.2221267961330457,-0.06921223829824381,0.0,0.0
substitution,M,1,-0.060607466033679086,-0.05961705486005689,500,-0.08325096947174526,-0.040317439882980824,-0.08658027773264951,-0.0374055952318635,0.0,0.0
substitution,M,5,-0.06767695646576595,-0.06684952948947245,500,-0.09816307960280568,-0.04185309959797949,-0.10310383322782632,-0.038053176732076796,0.0,0.0
substitution,M,10,-0.09151682005068892,-0.09032053729678069,500,-0.1361541622449731,-0.04970909348112599,-0.14601934026586336,-0.04661599116924329,0.0,0.0
substitution,R,1,-0.07382828808031998,-0.07350781767275472,500,-0.09131220657642766,-0.05789864676018358,-0.09555124058663493,-0.05575647263964902,0.0,0.0
substitution,R,5,-0.21552372934037242,-0.21718283729382112,500,-0.25746901865478916,-0.16821073277051635,-0.26702236065974827,-0.16023726883335426,0.0,0.0
substitution,R,10,-0.2734904484292126,-0.2780241639002896,500,-0.31198204392509704,-0.2160495089076023,-0.32066307826803403,-0.20804133809233302,0.0,0.0
substitution,far,1,-0.08209909125760914,-0.08140766742790159,500,-0.10400935269715977,-0.06265093071695833,-0.10852651462002298,-0.060669085035910356,0.0,0.0
