level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr
parcel,47,auc,U-T,0.6150467610684102,0.25481745050416976,0.11227430794394452,1.1084341107283895,30,0.01579249924996969,0.02483748243769807
parcel,47,auc,S-U,-1.6849780707588886,0.2035725149198209,-2.0928124417801026,-1.304337849747195,30,1.2627366140234027e-16,8.37173445761372e-16
parcel,48,auc,S-T,-0.44347237628700564,0.30751651516857,-1.0758383559952784,0.14364098630252214,30,0.14927158787621436,0.1985874783275579
parcel,48,auc,U-T,0.8161110668111466,0.2154933183251306,0.4043071775171715,1.2505420444937674,30,0.00015236933661342712,0.00031688596869343594
parcel,48,auc,S-U,-1.2595834430981523,0.2078222137482743,-1.6719885500483895,-0.8706808619850622,30,1.3538713568659633e-09,4.451083912983989e-09
parcel,49,auc,S-T,-1.1865260762127756,0.31197058816461914,-1.8387759166390567,-0.5711783495539093,30,0.00014276586183515993,0.00029794614643859465
parcel,49,auc,U-T,0.38203633952470434,0.21709796900810027,-0.056890312294208885,0.8046288965211631,30,0.07845161944083814,0.11049523864906781
parcel,49,auc,S-U,-1.56856241573748,0.19329163361682092,-1.9487279084214122,-1.2076326319100075,30,4.857680737936429e-16,3.068008887117745e-15
parcel,5,auc,S-T,-1.3170825978686078,0.400267079453511,-2.122815327697005,-0.5650411798567835,30,0.0010000615119747092,0.0018751153349525797
parcel,5,auc,U-T,1.079485278248667,0.351584687781339,0.39138300164207807,1.737941889170443,30,0.0021381369038950817,0.0038237917804382986
parcel,5,auc,S-U,-2.396567876117275,0.34721418086297107,-3.0819238138229035,-1.7296436050168376,30,5.117612095327982e-12,2.0747076062140465e-11
parcel,50,auc,S-T,-1.3540689700459603,0.2777201187897122,-1.9237932256565222,-0.8087327245795293,30,1.0844506606879592e-06,2.810671258802486e-06
parcel,50,auc,U-T,0.6565237907912723,0.19412627720029935,0.2668888208265763,1.042574486650369,30,0.0007197536564080763,0.0013885922631667067
parcel,50,auc,S-U,-2.0105927608372327,0.18509777772695493,-2.3742591272816806,-1.658484518769342,30,1.7424962017640304e-27,5.361526774658555e-26
parcel,51,auc,S-T,-0.060368443203797625,0.2235526374502716,-0.5173405795348345,0.37649093794212224,30,0.7871284862604715,0.8329401971010281
parcel,51,auc,U-T,0.5003505446902292,0.17670690103793515,0.1436068523460752,0.8399978212189376,30,0.004632617189897339,0.00787413686668103
parcel,51,auc,S-U,-0.5607189878940269,0.15176404959510825,-0.8491790037689965,-0.27252395315245004,30,0.00022016737072949393,0.00045239870697841213
parcel,52,auc,S-T,-2.012998330782713,0.32414461547779694,-2.6752424652808253,-1.3640452496259199,30,5.292194658034916e-10,1.799046342674759e-09
parcel,52,auc,U-T,0.3186093125143573,0.2433834317574954,-0.16200760307268133,0.7893300843605912,30,0.19050595945048676,0.24794701880757497
parcel,52,auc,S-U,-2.3316076432970703,0.22300678562630244,-2.760126469774191,-1.9153447212542687,30,1.3852813784433094e-25,3.0224320984217656e-24
parcel,53,auc,S-T,0.14383284450464098,0.25312292291665783,-0.3752781236360374,0.639781456708549,30,0.5698766414179166,0.6367708237917479
parcel,53,auc,U-T,0.5559941727346693,0.1967396375135607,0.17295604986209212,0.9425151830896186,30,0.004712731316334025,0.007998978188968643
parcel,53,auc,S-U,-0.4121613282300284,0.1638824140578072,-0.740851366608062,-0.11573002127171172,30,0.01190384472588964,0.019097077100357712
parcel,54,auc,S-T,-1.7743812874716707,0.3922510224819882,-2.5546597952671726,-1.0007690780511131,30,6.080055865444079e-06,1.4334119918532209e-05
parcel,54,auc,U-T,0.6944005460307505,0.27969974526176644,0.1547049134859729,1.2562689262355735,30,0.013040394984523794,0.020809140932750735
parcel,54,auc,S-U,-2.468781833502421,0.25095209179967026,-2.9555722649585623,-1.987484382771178,30,7.749073645346094e-23,1.0107487363494904e-21
parcel,55,auc,S-T,-1.6329448854985977,0.35945260525480455,-2.3432215515009345,-0.9282273778228747,30,5.549462767228663e-06,1.3134823117700977e-05
parcel,55,auc,U-T,0.020723868298342378,0.261166975629674,-0.4973362750529858,0.5555463363035114,30,0.9367534188258897,0.9510186993156241
parcel,55,auc,S-U,-1.6536687537969401,0.2207758803070895,-2.0964428014251024,-1.2497887209806342,30,6.873728960329119e-14,3.465745694283589e-13
parcel,56,auc,S-T,-1.7170391024283487,0.3460693309004208,-2.410975624704498,-1.0273100628884528,30,6.99340972387948e-07,1.8403709799682843e-06
parcel,56,auc,U-T,0.20411052930530904,0.29119006625417265,-0.37133417223548415,0.7507848583260956,30,0.48333239245842263,0.5560871245926243
parcel,56,auc,S-U,-1.9211496317336576,0.22659919548981375,-2.3570232061753384,-1.4857801377246862,30,2.287363894437049e-17,1.6051676452189816e-16
parcel,57,auc,S-T,-1.1126756271537588,0.3331661241729201,-1.7728070832647995,-0.44353759192847747,30,0.0008386828165364151,0.0016051345771031867
parcel,57,auc,U-T,0.3021483132324269,0.2357355559691108,-0.14830485083464465,0.7592553063368512,30,0.19993889700960088,0.2574320562355376
parcel,57,auc,S-U,-1.4148239403861858,0.20093681508111952,-1.8184824734335887,-1.0352519158511453,30,1.9067538544644645e-12,8.085175354619639e-12
parcel,58,auc,S-T,-1.65124918788772,0.3154852804421493,-2.2832321854419724,-1.0214655073268317,30,1.6588264312797628e-07,4.607851197999341e-07
parcel,58,auc,U-T,0.163499721805335,0.24339281828582815,-0.32284799210608695,0.642383411950184,30,0.5017413050484953,0.5745129447120176
parcel,58,auc,S-U,-1.814748909693055,0.22446354996904816,-2.2548298119303043,-1.3914717446564493,30,6.22526362271448e-16,3.911160391234228e-15
parcel,59,auc,S-T,-0.35633984466545127,0.27972395908094366,-0.9028831053345732,0.19787285110829939,30,0.2026995006080573,0.2604276239075683
parcel,59,auc,U-T,0.1295638847169828,0.2010418307638363,-0.24510912017008962,0.5209145093246884,30,0.5192756837715529,0.5917671609932227
parcel,59,auc,S-U,-0.4859037293824341,0.1560526137754863,-0.7971188526735666,-0.1888837936470648,30,0.001847463868111107,0.0033237730760619618
parcel,6,auc,S-T,-0.7237228346802181,0.3737323466089584,-1.46724340772633,-0.006109578061290022,30,0.05280971894097352,0.07635140087851593
parcel,6,auc,U-T,0.511597891646415,0.3375701971797481,-0.1437561991372681,1.1566788009188136,30,0.12963814096284482,0.17463900054965098
parcel,6,auc,S-U,-1.2353207263266333,0.25680257657921,-1.7492850780150522,-0.7445469961332409,30,1.5063555785667757e-06,3.813558426751331e-06
parcel,60,auc,S-T,-2.691584804706466,0.4010773738165563,-3.506051093784268,-1.9134345070772192,30,1.9344530106132293e-11,7.392814053298965e-11
parcel,60,auc,U-T,0.29462383232589706,0.2994544946830401,-0.29573159223958245,0.889619956450533,30,0.325180193505927,0.396158611377779
parcel,60,auc,S-U,-2.9862086370323633,0.2731544801000973,-3.5074006062059717,-2.469838572464936,30,8.076848143882252e-28,2.850652286076089e-26
parcel,61,auc,S-T,-1.8068977690174037,0.32380256890065157,-2.448839638120089,-1.159219511409252,30,2.401795932268977e-08,7.169540096325304e-08
parcel,61,auc,U-T,0.18416021919145115,0.2420698793480029,-0.2973326750718982,0.6691816986702777,30,0.44679268641078596,0.524096992857227
parcel,61,auc,S-U,-1.9910579882088548,0.2342308108710968,-2.449664638310003,-1.5378618503346322,30,1.8892180556238097e-17,1.3414566075435336e-16
parcel,62,auc,S-T,-1.2180166939920467,0.38338427997386615,-1.9901707527893866,-0.47161094177876267,30,0.0014880056319546127,0.0027054647853720234
parcel,62,auc,U-T,0.7164486556045576,0.26883567348157683,0.189589641526944,1.2508022571474893,30,0.007698697237323526,0.012707615797507885
parcel,62,auc,S-U,-1.9344653495966044,0.2238974665203272,-2.388416452869539,-1.5219994637099887,30,5.62322774871176e-18,4.1912256512137345e-17
parcel,63,auc,S-T,-1.5835462391543453,0.3316437008164516,-2.2324855211137065,-0.923752911762318,30,1.7984848784188398e-06,4.5339954918122e-06
parcel,63,auc,U-T,0.4244474810922219,0.2429453375261356,-0.03603923660367202,0.9403957615033206,30,0.08062164824998798,0.11328568840747726
parcel,63,auc,S-U,-2.007993720246567,0.20661098611562964,-2.4157672500732543,-1.618769979459414,30,2.50922910834442e-22,3.104200958776602e-21
parcel,64,auc,S-T,-1.4268441604084279,0.4020898241224747,-2.2163279110283183,-0.6152984398219137,30,0.000387328031961637,0.0007733671187253983
parcel,64,auc,U-T,0.2857530936437136,0.31041427630365814,-0.3015330061133269,0.9343220941305016,30,0.3572833447217487,0.43003010397803254
parcel,64,auc,S-U,-1.7125972540521415,0.2616621421535834,-2.234586201962823,-1.2114752614887574,30,5.946719421866471e-11,2.1889764743066764e-10
parcel,65,auc,S-T,-1.8402883020438519,0.3786010939033999,-2.606367724804684,-1.076541885508185,30,1.1693712354140235e-06,2.991994632189399e-06
parcel,65,auc,U-T,0.15646039968264092,0.2793594453904567,-0.41084872472852296,0.7014670690142618,30,0.5754327784544198,0.6406947776680489
parcel,65,auc,S-U,-1.9967487017264927,0.22592127749043753,-2.4358232078114934,-1.5708567727118146,30,9.722962969442269e-19,7.883483488736975e-18
parcel,66,auc,S-T,-0.3609610781520542,0.3298480704621663,-1.010832291305515,0.2997589301061254,30,0.27381234696725487,0.3415538631608169
parcel,66,auc,U-T,0.15643969173643826,0.21550635608224838,-0.2667583013662269,0.5898592219175213,30,0.4678897558959554,0.5435311781947206
parcel,66,auc,S-U,-0.5174007698884925,0.18508883376269372,-0.8884645964595623,-0.16271721363174402,30,0.005183255174010959,0.008772787318495276
parcel,67,auc,S-T,-1.0910005061963497,0.36481373128972283,-1.8341904546163446,-0.36261583842510425,30,0.002784585343429993,0.0049212112107746555
parcel,67,auc,U-T,0.5231789015866535,0.24560625001081357,0.03702872108998969,1.0018359686306135,30,0.03315898008930574,0.04980072103525268
parcel,67,auc,S-U,-1.6141794077830032,0.20939440061353606,-2.0197139153254313,-1.222392745767249,30,1.2700696811638096e-14,6.959285924185259e-14
parcel,68,auc,S-T,-1.2324311959840195,0.4328662953044034,-2.0770677107445836,-0.3818784316455036,30,0.004411387667841588,0.007540833620242031
