tag,form,forgetting,epw,effort,outcome_weights,scenario,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,equal,substitution,2,-0.13915262377547744,-0.13938117951411294,50,-0.22421590458706628,-0.07702867540184731,-0.23225540219743684,-0.061876201276076855
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,learning_first,free_choice,2,-0.015679339287892145,-0.013430460506826971,50,-0.0314192549144591,-0.0054426912134111095,-0.04377786898060105,-0.004825697127669832
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,learning_first,scaffolding_nofade,2,0.007498676708117321,0.006076378395305805,50,0.002521221179938175,0.016549596911003973,0.001941363076958841,0.017017238956978896
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,learning_first,scaffolding_rapid,2,0.027245318505157195,0.026225544811720618,50,0.013843366834513086,0.04572393270285259,0.013244492776895758,0.051259007812621306
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,learning_first,substitution,2,-0.13475810827638043,-0.132670850605291,50,-0.22209221410686825,-0.07103490494476149,-0.2293998235399138,-0.05891144163325302
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,autonomy_first,free_choice,2,-0.01992863431119663,-0.01718703378347155,50,-0.038217208055074024,-0.0070425889618717895,-0.05291336308287514,-0.006301985328403009
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,autonomy_first,scaffolding_nofade,2,0.00834996193549276,0.006787268002274317,50,0.0023491596660116373,0.019588806130855056,0.0016486167098167792,0.020050138144988523
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,autonomy_first,scaffolding_rapid,2,0.04712288572160769,0.04602283358237612,50,0.025766624531630623,0.07473411985170841,0.023881761886065903,0.08947049032342963
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,autonomy_first,substitution,2,-0.16364296884992613,-0.16742305215874934,50,-0.25699164203900476,-0.09047587304184597,-0.2662009392904361,-0.07296904140753897
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,equal,free_choice,2,-0.03313062792056512,-0.03315499596507285,50,-0.04809181666364333,-0.014251293892176834,-0.0508459681208834,-0.013178454205624593
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,equal,scaffolding_nofade,2,0.016338767390195234,0.014532240114721335,50,0.006949617923984514,0.028392729376314988,0.00600481009670309,0.03009845214245458
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,equal,scaffolding_rapid,2,0.04577557453058094,0.04557986391769221,50,0.028224802171080313,0.06317808163331472,0.027096972509511656,0.0637726149266185
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,equal,substitution,2,-0.18996143470295723,-0.1965142749901356,50,-0.2299323035463618,-0.1358958563624815,-0.23553716126936045,-0.12120707248855099
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,learning_first,free_choice,2,-0.03129226886300379,-0.030899484143232365,50,-0.045901581041256044,-0.013000999488641316,-0.048445227921331345,-0.012363783904107906
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,learning_first,scaffolding_nofade,2,0.017725241107643886,0.01634645714653194,50,0.008095708308608186,0.031024554983460365,0.007165723605053469,0.03185985944358518
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,learning_first,scaffolding_rapid,2,0.04135226564991781,0.040866204128638395,50,0.02593698167313129,0.05841700509899862,0.023353010707105763,0.060159174330305196
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,learning_first,substitution,2,-0.1857430644216764,-0.19260972719121158,50,-0.22851953669193,-0.1361011673550697,-0.23137592525040582,-0.1186844158077248
spec_bounded_weekly_break_0.1_epw3_drawn,bounded,weekly_break_0.1,3,drawn,autonomy_first,free_choice,2,-0.03791784794758987,-0.03880528939445857,50,-0.053423476092084775,-0.017325552460497183,-0.05636423103379411,-0.015783943517789965
