tag,form,forgetting,epw,effort,wpm,metric,winsorize,network_weights,mechanism,scenario,network,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,auc,True,area,A,substitution,Cont,3,3.57041407697227,3.118447688451289,20,1.5291746913494948,6.041895080066667,1.489289911708517,6.525065094275372
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,auc,True,equal,A,substitution,Cont,3,3.3786500037001423,2.9536967409113384,20,1.433487268363186,5.717899556649888,1.3915885550590257,6.1832556179748615
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,auc,False,area,A,substitution,Cont,3,3.6049517201417585,3.1542113435573924,20,1.5500050930289528,6.091601523006202,1.5112926538638862,6.570617630889061
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,auc,False,equal,A,substitution,Cont,3,3.4212903582724095,2.995770392188649,20,1.4577764799885855,5.782927073394317,1.4171637877064844,6.245498994422272
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,mean,True,area,A,substitution,Cont,3,3.0151213150395813,2.6294848257567387,20,1.1054874100938683,5.469982405684934,1.091415124531206,5.703782376053732
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,mean,True,equal,A,substitution,Cont,3,2.8536609259588186,2.490777230245082,20,1.034927244327166,5.163430496448497,1.016672882851298,5.406129118920962
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,mean,False,area,A,substitution,Cont,3,2.9529583860367863,2.5744483583903763,20,1.067599182802938,5.378891127206858,1.054734246150595,5.602404486289564
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,mean,False,equal,A,substitution,Cont,3,2.81389783167126,2.4553890013369695,20,1.0078082972712576,5.1112711406237334,0.9911848855223802,5.344578367035475
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,peak,True,area,A,substitution,Cont,3,4.965346760106575,4.425479729832109,20,2.333529683793706,8.551391482995658,2.301703852683778,8.577360604978894
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,peak,True,equal,A,substitution,Cont,3,4.763087814344996,4.267111258228757,20,2.23908082760017,8.047362889194858,2.2107233900039245,8.169944487730287
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,peak,False,area,A,substitution,Cont,3,4.692843454477177,4.236472700495423,20,2.203202031531203,8.117985489820931,2.1700751790390678,8.143956603657827
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,180,peak,False,equal,A,substitution,Cont,3,4.543473129594423,4.069492297434483,20,2.1300060444071707,7.761787422443219,2.1006818954160424,7.841547556907077
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,auc,True,area,A,substitution,Cont,3,0.2197432132443211,0.2083280198550737,20,-0.29486156136717623,0.816135516402378,-0.3304787739453215,0.8217405441309114
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,auc,True,equal,A,substitution,Cont,3,0.05484191840170386,0.03271127869662296,20,-0.42332429046117437,0.5784840256254098,-0.4530036363571065,0.5958286809027086
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,auc,False,area,A,substitution,Cont,3,0.2082075478143314,0.18455341311033083,20,-0.3099453834436988,0.8167678261478512,-0.3409112819893547,0.8169302644510761
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,auc,False,equal,A,substitution,Cont,3,0.012800678691032246,-0.02203883120218191,20,-0.4624574130317464,0.5165753822769581,-0.4850257327360626,0.5463145313094443
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,mean,True,area,A,substitution,Cont,3,-2.7734461494664924,-2.5340488698733123,20,-3.902400150940279,-2.0162570902833377,-4.031751308276131,-1.8844768585590088
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,mean,True,equal,A,substitution,Cont,3,-2.7913345248054684,-2.5458675390325105,20,-3.9259982593695564,-2.0530285938517823,-4.080438689570806,-1.909394352878454
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,mean,False,area,A,substitution,Cont,3,-2.721304762627659,-2.4908412458073874,20,-3.8349444028394326,-1.984602027916209,-3.9614107015582998,-1.8529205070749681
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,mean,False,equal,A,substitution,Cont,3,-2.762096887069227,-2.5219421546305627,20,-3.894139889059097,-2.0338962343006486,-4.045344220258491,-1.8903138728298963
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,peak,True,area,A,substitution,Cont,3,5.784553630036915,5.427931324367933,20,3.9668029528042945,8.37207921092275,3.436582012634333,9.06136442991359
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,peak,True,equal,A,substitution,Cont,3,6.088775210671897,5.676152652511204,20,4.1969061183521505,8.845954991125376,3.6362801777733895,9.581335898793126
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,peak,False,area,A,substitution,Cont,3,5.551756139843928,5.218228322383335,20,3.8071693952286125,7.9835924478588804,3.3009289600284966,8.670709709372824
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,260,peak,False,equal,A,substitution,Cont,3,5.823404968216987,5.4388185187994065,20,4.025700325129206,8.402597995248476,3.488961328267596,9.136917863131366
