scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive,episodes_per_week,run
scaffolding_nofade,G,10,0.01568711316155769,0.014651652152993789,500,0.006386558208959068,0.027981367359525267,0.005203554513562222,0.029722763888445955,0.999996,1.0,3,v_main
scaffolding_nofade,K,1,0.011696326103489833,0.01147080060814695,500,0.008467562193260275,0.015989046445795383,0.008131075416936044,0.01660472721203325,0.999925,1.0,3,v_main
scaffolding_nofade,K,5,0.013916570209838353,0.013319754238465216,500,0.008457070578130837,0.021149005573838798,0.007842855308384475,0.023193675264429517,0.999959,1.0,3,v_main
scaffolding_nofade,K,10,0.02281847632410288,0.020952977734511463,500,0.010440187843170242,0.04115479059890374,0.009319274754698136,0.045853224437419814,0.9999730000000001,1.0,3,v_main
scaffolding_nofade,far,1,0.010387125100760184,0.010135029894078735,500,0.00730628284501661,0.014410461508838162,0.007043716776281688,0.015143233938729137,0.9998640000000001,1.0,3,v_main
scaffolding_nofade,far,5,0.012620699885915115,0.012371401975825366,500,0.007791424850773115,0.01806170831549508,0.007285869821002619,0.01891379433478524,0.999971,1.0,3,v_main
scaffolding_nofade,far,10,0.01669523890527354,0.01687426654766603,500,0.009738674617479163,0.023211884077275997,0.008577346056492042,0.0244074340692385,0.9999750000000001,1.0,3,v_main
scaffolding_nofade,p_request,1,-0.007349102928844124,-0.006942973975575635,500,-0.011284812394707276,-0.004689297007180494,-0.012211673170473083,-0.004476458108746566,0.0,0.0,3,v_main
scaffolding_nofade,p_request,5,-0.01086111483922371,-0.010450172069939694,500,-0.018044278640785998,-0.005239151566635986,-0.019863359504697288,-0.00465587086759799,0.0,0.0,3,v_main
scaffolding_nofade,p_request,10,-0.017803811707925804,-0.017213406161237635,500,-0.029794925417883433,-0.0072213027901264215,-0.031755604400898876,-0.005652495850448644,0.0,0.0,3,v_main
scaffolding_nofade,retention,1,0.007224121046462779,0.007012654675087698,500,0.004871719051202964,0.010269150502889892,0.00467937882157243,0.010877349031750277,0.9998789999999999,1.0,3,v_main
scaffolding_nofade,retention,5,0.009954126644689275,0.009697029917279332,500,0.005563756925243356,0.01490002186651919,0.005134474843772691,0.01620746427079631,0.9999790000000001,1.0,3,v_main
scaffolding_nofade,retention,10,0.015494798011084504,0.015194029873407516,500,0.007321048945861232,0.024608343999229575,0.00639374085660455,0.026281225921632415,0.999981,1.0,3,v_main
scaffolding_nofade,unaided,1,0.00862231393857855,0.008127533656716413,500,0.005306471530957031,0.013885418870581513,0.004982614384496942,0.014706356806222037,0.9998640000000001,1.0,3,v_main
scaffolding_nofade,unaided,5,0.012473038341000124,0.011802153723895356,500,0.006199398143549409,0.020990641127978132,0.0055597131372299765,0.022915525627706525,0.999971,1.0,3,v_main
scaffolding_nofade,unaided,10,0.020929780362209875,0.02011399795869625,500,0.008577363648414407,0.03552223099474522,0.007139553222151366,0.037780996341541556,0.9999750000000001,1.0,3,v_main
scaffolding_rapid,D,1,-0.036215505381726354,-0.03562626984032709,500,-0.048851330958622305,-0.024583663335096907,-0.05076733178063255,-0.02310941644903377,1.4000000000000001e-05,0.0,3,v_main
scaffolding_rapid,D,5,-0.06828428386737499,-0.06847255528632813,500,-0.09489760578720413,-0.04245373800102262,-0.10037609071066234,-0.0401494489732439,0.0,0.0,3,v_main
scaffolding_rapid,D,10,-0.08622240087152366,-0.08807549660139637,500,-0.1160943383323466,-0.05185386308793287,-0.1190948531987539,-0.045395940268763126,0.0,0.0,3,v_main
scaffolding_rapid,G,1,0.007610638215905006,0.007517745994754492,500,0.0032570301897066564,0.012187441074259961,0.0025110450513480317,0.013057374854010704,0.934913,1.0,3,v_main
scaffolding_rapid,G,5,0.02860088166823175,0.02834604356402137,500,0.01872288666992496,0.03937282606440569,0.016667965410826633,0.041863251012468856,0.9999839999999999,1.0,3,v_main
scaffolding_rapid,G,10,0.044864835313649806,0.04480864586252775,500,0.027749292889700156,0.0620657261177649,0.02372343692872459,0.06357269241287722,1.0,1.0,3,v_main
scaffolding_rapid,K,1,0.004364371724180938,0.00412649296004247,500,0.0017330476294158573,0.007920253725724637,0.001466427252381795,0.008786818334707782,0.5812339999999999,1.0,3,v_main
scaffolding_rapid,K,5,0.0068767105961572116,0.006333615707849585,500,0.002034550063814717,0.013871315770881168,0.0014520032590652932,0.015019050251675915,0.563268,1.0,3,v_main
scaffolding_rapid,K,10,0.016253069406998364,0.013977219097163582,500,0.0037202283416759418,0.03658801133294811,0.0022100900706422504,0.0407010018852384,0.686496,1.0,3,v_main
scaffolding_rapid,far,1,0.002401562381794629,0.0024490071161172152,500,-0.0009319533875445479,0.005574998327922625,-0.0014089805178087492,0.007022608344177832,0.470543,0.864,3,v_main
scaffolding_rapid,far,5,0.013386757975394,0.013115230168381072,500,0.007451286307263992,0.0206112397407702,0.006724496473483954,0.022331469534197883,0.9652149999999999,1.0,3,v_main
scaffolding_rapid,far,10,0.023370264264789338,0.023281832026949403,500,0.012565842543578978,0.03328016381385738,0.011432166046805654,0.03555981741371666,0.995946,1.0,3,v_main
scaffolding_rapid,p_request,1,-0.01674281920963599,-0.01663008081583499,500,-0.023623710687502915,-0.010751162514015325,-0.024969558228532952,-0.009975628391303,1.9e-05,0.0,3,v_main
scaffolding_rapid,p_request,5,-0.03097429265666054,-0.031188106291077315,500,-0.04421411033062926,-0.017540643074054136,-0.04791645451274792,-0.01626194713237734,0.0,0.0,3,v_main
scaffolding_rapid,p_request,10,-0.042974803305130295,-0.044348745591891524,500,-0.0598293172972713,-0.022592674370273017,-0.061612463478942635,-0.019270264131981622,0.0,0.0,3,v_main
scaffolding_rapid,retention,1,0.002511692366301056,0.002505490521748187,500,4.094184449376693e-05,0.004974206211879549,-0.00021002098934411973,0.006214934837067781,0.5178619999999999,0.954,3,v_main
scaffolding_rapid,retention,5,0.012701862039538705,0.012308219046222316,500,0.007144538696546953,0.01985655640236724,0.006416218478733098,0.021107508657443076,0.9804700000000001,1.0,3,v_main
scaffolding_rapid,retention,10,0.023831572080015146,0.02361137592659305,500,0.011851821008846788,0.036127833848670826,0.01075094606920081,0.038770442555364444,0.997995,1.0,3,v_main
scaffolding_rapid,unaided,1,0.0031683924144924667,0.0029456428136297487,500,0.00019621336221758726,0.00684393592122257,-9.365987004317556e-05,0.008150752845543237,0.470543,0.97,3,v_main
scaffolding_rapid,unaided,5,0.013335074858153327,0.012560767904493446,500,0.006379876643382459,0.022813989056269746,0.005300911289187014,0.025188170577464867,0.9652149999999999,1.0,3,v_main
